資料集識別碼,資料集名稱,資料提供屬性,服務分類,品質檢測,檔案格式,資料下載網址,編碼格式,資資料集上架方式,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,計費方式,提供機關聯絡人姓名,提供機關聯絡人電話,上架日期,詮釋資料更新時間,備註,資料量
177756,115年5月花蓮縣滯納及違章罰鍰移送執行情形月報表(以前年度),檔案資料,公共資訊,金,ODS,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjEwOTkyL2Q3NWI5YWUzLTdkYTYtNDgxZC04ODg0LWNkMzEyZjllODhkNC5vZHM%3d&n=MTE15bm0NeaciOiKseiTrue4o%2ba7r%2be0jeWPiumBleeroOe9sOmNsOenu%2bmAgeWft%2bihjOaDheW9ouaciOWgseihqCjku6XliY3lubTluqYpLm9kcw%3d%3d,其他,原始資料,＊統計地區範圍及對象：凡逾滯納期未經徵起之欠稅費，經移送強制執行者均屬之。 ＊統計標準時間：本月資料以每月1日至月底，累計資料以每一會計年度起始日至當月底之事實為準。,花蓮縣地方稅務局,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,賴淑娟,03-8226121-413,2026-06-12 00:00:00,2026-06-12 10:17:18,,48
177754,115年5月花蓮縣滯納及違章罰鍰移送執行情形月報表(本年度),檔案資料,公共資訊,金,ODS,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjEwOTkxL2I3MWRhYjkyLTU5YzUtNDEwYS04NmNjLTQ0OGUxYWYwNzA3ZC5vZHM%3d&n=MTE15bm0NeaciOiKseiTrue4o%2ba7r%2be0jeWPiumBleeroOe9sOmNsOenu%2bmAgeWft%2bihjOaDheW9ouaciOWgseihqCjmnKzlubTluqYpLm9kcw%3d%3d,其他,原始資料,＊統計地區範圍及對象：凡逾滯納期未經徵起之欠稅費，經移送強制執行者均屬之。 ＊統計標準時間：本月資料以每月1日至月底，累計資料以每一會計年度起始日至當月底之事實為準。,花蓮縣地方稅務局,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,賴淑娟,03-8226121-413,2026-06-12 00:00:00,2026-06-12 10:14:16,,48
177769,郵政簡易人壽保險年報,檔案資料,公共資訊,白金,CSV,https://www.motc.gov.tw/uploaddowndoc?file=datagov/1515911198967599104.csv&filedisplay=郵政簡易人壽保險年報_下載連結.csv&flag=doc,BIG5,系統介接程式,本資料集提供中華郵政公司壽險業務年報。,檔案名稱;格式;下載網址,中華郵政股份有限公司,每1年,政府資料開放授權條款-第1版,https://www.post.gov.tw/post/internet/Insurance/index.jsp?ID=4010402,免費,劉 小姐,02-23931261,2026-06-15 00:00:00,2026-06-18 13:53:46,,0
177487,108年低碳永續家園專案推動工作成果(線上簽核公文數量-基層機關),檔案資料,公共資訊,金,CSV,https://webws.miaoli.gov.tw/001/Upload/414/relfile/9718/296788/48c663b8-18a4-4845-833f-d1a6b4011d04.csv,BIG5,系統介接程式,108年低碳永續家園專案推動工作成果(線上簽核公文數量-基層機關)-苗栗縣政府計畫處,年度;月份;量化成果,數位研考處,不定期更新,政府資料開放授權條款-第1版,,免費,黃博君 先生,037-559743,2020-03-13 00:00:00,2026-04-29 08:07:16,,12
177486,臺東縣警察局115年「固定式取締違規照相桿暨科技執法偵測」設置地點公告1150424,檔案資料,交通及通訊,無(品檢未過),PDF,https://www.ttcpb.gov.tw/uploaddowndoc?file=/pubttcpb/comm/202604241143550.pdf&flag=doc,其他,系統介接程式,臺東縣警察局115年固定式取締違規照相桿暨科技執法偵測設置地點-1150424公告,設置地點、座標、取締項目,臺東縣政府,不定期更新,政府資料開放授權條款-第1版,,免費,楊忠豪,089325801,2026-04-24 00:00:00,2026-04-28 14:53:11,,0
177706,115年花蓮縣房屋稅查定,檔案資料,公共資訊,金,CSV,https://ws.hl.gov.tw/001/Upload/518/relfile/22646/210462/9776b6e0-ff2d-4a05-a708-6c95d1e675cb.csv,BIG5,原始資料,花蓮縣房屋稅查定,類別;應稅戶(件)數;應稅本稅;應稅面積;應稅現值;免稅戶(件)數;免稅面積;免稅現值,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,陳韻涵,03-8226121#232,2026-06-05 00:00:00,2026-06-05 10:09:45,,23
177702,115年3月人口統計,檔案資料,公共資訊,金,ODS,https://www.matsu.gov.tw/chhtml/adddownloadcount/371030000A/111962?mcfilename=Mcfile2&type=D,其他,原始資料,連江縣115年3月的人口總數與分布情況,鄉別;村別;鄰數;戶數;人口合計;男;女;遷入;遷出;出生;死亡;結婚;離婚,連江縣政府,不定期更新,政府資料開放授權條款-第1版,,免費,黃典政,0836-25139#6563,2026-06-04 00:00:00,2026-06-04 17:39:13,,28
177703,115年4月人口統計,檔案資料,公共資訊,金,ODS,https://www.matsu.gov.tw/chhtml/adddownloadcount/371030000A/111963?mcfilename=Mcfile2&type=D,其他,原始資料,連江縣在115年4月的人口總數、男女比例。,鄉別;村別;鄰數;戶數;人口合計;男;女;遷入;遷出;出生;死亡;結婚;離婚,連江縣政府,不定期更新,政府資料開放授權條款-第1版,,免費,黃典政,0836-25139,2026-06-04 00:00:00,2026-06-04 17:42:34,,28
177710,110年低碳永續家園專案推動工作成果(線上簽核公文數量-基層機關),檔案資料,公共資訊,金,CSV,https://webws.miaoli.gov.tw/001/Upload/414/relfile/9718/507283/99e888d2-d44d-4538-b17f-7f43d26963c2.csv,BIG5,系統介接程式,110年低碳永續家園專案推動工作成果(線上簽核公文數量-基層機關)。,年度;月份;量化成果,數位研考處,不定期更新,政府資料開放授權條款-第1版,,免費,黃博君 小姐,037-559743,2022-03-21 00:00:00,2026-06-05 16:24:47,,12
177541,監察院公報,檔案資料,公共資訊,白金,CSV,https://www-ws.cy.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvMy9yZWxmaWxlLzAvODc0L2RhMDAwYWJkLTBiOTEtNGNkOS1iOTQwLTE3ZTgwNTc0YTgxYy5jc3Y%3d&n=MjAyNjA2MTdf5YWs5aCx6LOH5paZLmNzdg%3d%3d,UTF-8,原始資料,依監察院公報編印要點規定，刊登公報內容，主動公開政府資訊。,項次編號;期別編號;出刊日期;檔案連結網址;聯絡人;聯絡電話;分機,監察院,每2月,政府資料開放授權條款-第1版,,免費,楊先生,02-23413183#133,2026-05-06 00:00:00,2026-06-25 09:04:34,,1000
177542,ICOPE自評量表原住民族語翻譯稿件,檔案資料,老年安養,銅,PDF,https://ttone.taitung.gov.tw/download?id=Kfed%2B4%2FwrMSH4DFwlepwOw%3D%3D,其他,系統介接程式,國民健康署長者內在能力檢測推動計畫宣導素材原住民族語版本翻譯稿件,無,臺東縣衛生局,不定期更新,政府資料開放授權條款-第1版,https://ttone.taitung.gov.tw/download?id=Kfed%2B4%2FwrMSH4DFwlepwOw%3D%3D,免費,吳柏翰,089-331171#309,2026-04-10 00:00:00,2026-05-06 15:40:28,,0
177538,苗栗縣政府公報,檔案資料,公共資訊,金,CSV,https://webws.miaoli.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvb3BlbmRhdGEvMjExNi9hMzg3YTZlNi0zZTExLTRlYjItOWFmMS1mNDg0MThmY2UzYzcuY3N2&n=6IuX5qCX57ij5pS%2f5bqc5YWs5aCxLmNzdg%3d%3d&icon=.csv,UTF-8,系統介接程式,歷年苗栗縣政府公報,序號;標題;日期;網址,行政處,不定期更新,政府資料開放授權條款-第1版,,免費,彭 小姐,037-559259,2026-05-06 00:00:00,2026-05-06 14:38:45,,132
177534,115年4月花蓮縣礦石開採景觀維護特別稅徵績表,檔案資料,公共資訊,金,CSV,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjA4Mzc3LzBlZjA1NWRjLWYzZTUtNDI5NC05ZjQ1LWZkYmY2NjIxMDBjYS5jc3Y%3d&n=6Iqx6JOu57ij56Sm55%2bz6ZaL5o6h5pmv6KeA57at6K2354m55Yil56iFMTE15bm05bqmNOaciOS7veW%2btee4vuihqC5jc3Y%3d,UTF-8,原始資料,花蓮縣礦石開採景觀維護特別稅徵績表,花蓮縣礦石開採景觀維護特別稅115年度4月份徵績表;,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,林辰蓉,03-8226121,2026-05-06 00:00:00,2026-05-06 14:08:09,,24
177531,公報資料集,檔案資料,公共資訊,金,CSV,https://ws.kinmen.gov.tw/001/Upload/0/relfile/0/0/ad5f73ce-ea8d-4924-a642-b6466a91619a.csv,UTF-8,系統介接程式,公報資料集描述,序號 標題 網址,綜合發展處,不定期更新,政府資料開放授權條款-第1版,,免費,曹文豪 先生,082-318823,2026-05-06 10:17:00,2026-05-06 10:21:22,,1
177630,115年4月花蓮縣滯納及違章罰鍰移送執行情形月報表(以前年度),檔案資料,公共資訊,銀,ODS,https://ws.hl.gov.tw/Download.ashx?u=LzAwMS9VcGxvYWQvNTE4L3JlbGZpbGUvMjI2NDYvMjA5MTE3LzNkY2QzYjY5LWU3MmUtNGNjYi1hMzE2LTViN2NkYzQxMDJjZS5vZHM%3d&n=MTE15bm0NOaciOiKseiTrue4o%2ba7r%2be0jeWPiumBleeroOe9sOmNsOenu%2bmAgeWft%2bihjOaDheW9ouaciOWgseihqCjku6XliY3lubTluqYpLm9kcw%3d%3d,其他,原始資料,統計地區範圍及對象：凡逾滯納期未經徵起之欠稅費，經移送強制執行者均屬之。 ＊統計標準時間：本月資料以每月1日至月底，累計資料以每一會計年度起始日至當月底之事實為準。,花蓮縣地方稅務局,花蓮縣地方稅務局,不定期更新,政府資料開放授權條款-第1版,,免費,賴淑娟,03-8226121#413,2026-05-18 00:00:00,2026-05-18 09:24:53,,48
177635,高雄市政府公報,檔案資料,公共資訊,金,JSON;CSV,https://openapi.kcg.gov.tw/Api/Service/Get/2b907e59-174d-4ff3-bb4f-a520d7fb25ec;https://data.kcg.gov.tw/File/directDownload/2b907e59-174d-4ff3-bb4f-a520d7fb25ec,UTF-8;UTF-8,系統介接程式,本資料集收錄本府發行之公報,No(No);內文網址(內文網址);卷期(卷期);刊登日期(刊登日期);刊登日期年(刊登日期年),高雄市政府研究發展考核委員會,不定期更新,政府資料開放授權條款-第1版,https://data.kcg.gov.tw/DataSet/Detail/ee77eb97-6a59-4dbc-8ab8-aa60fda2e7fa,免費,傅景培,(07)3368333,2026-05-18 00:00:00,2026-06-23 11:24:24,,0;0
